"ID","Category","Question","Suggested Evidence","Typical Owner"
"VSQ-054","Privacy","Are privacy reviews performed for material new uses of personal data?","Privacy impact assessment procedure","Privacy / Product"
"VSQ-055","Privacy","How is access to personal data limited to authorized personnel?","Access control / privacy policy","Privacy / Security"
"VSQ-056","AI & Model Governance","Does the service use AI or machine-learning models in functionality delivered to customers?","Product architecture / AI inventory","Product / AI"
"VSQ-057","AI & Model Governance","Which model providers or model families are used in the customer-facing workflow?","AI architecture / vendor list","Product / AI"
"VSQ-058","AI & Model Governance","Is customer content used to train or fine-tune models shared across customers?","AI data-use policy / provider terms","Privacy / Product / Legal"
"VSQ-059","AI & Model Governance","What customer data is sent to external model providers and for what purpose?","AI data flow / subprocessor documentation","Product / Privacy"
"VSQ-060","AI & Model Governance","What retention rules apply to prompts, outputs, embeddings, and retrieved content?","AI retention policy / provider configuration","Privacy / Product"
"VSQ-061","AI & Model Governance","What human review or escalation controls apply to high-impact AI-assisted outputs?","AI governance procedure / product controls","Product / Risk"
"VSQ-062","AI & Model Governance","How are model or prompt changes tested before production release?","AI change management / evaluation plan","AI / Engineering"
"VSQ-063","AI & Model Governance","How are prompt injection, unsafe tool use, or untrusted retrieved content addressed?","AI security design / threat model","AI / Security"
"VSQ-064","AI & Model Governance","Are AI-related incidents and material model failures included in incident processes?","AI incident procedure","Security / Product"
"VSQ-065","AI & Model Governance","Can customers disable or restrict AI features where contractually supported?","Product documentation / configuration guide","Product / Legal"
"VSQ-066","Compliance & Assurance","Which independent security certifications or attestations are currently in scope for the service?","Current certificate / attestation report","GRC / Security"
"VSQ-067","Compliance & Assurance","What is the scope and validity period of each certification or attestation?","Certificate / auditor report","GRC"
"VSQ-068","Compliance & Assurance","How are audit findings or exceptions tracked through remediation?","Audit remediation tracker","GRC / Security"
"VSQ-069","Compliance & Assurance","Is a current penetration test or equivalent independent security assessment available under appropriate terms?","Penetration test executive summary","Security / Legal"
"VSQ-070","Compliance & Assurance","How are customer requests for assurance evidence handled and approved?","Customer trust procedure / evidence catalog","GRC / Sales Engineering"
"VSQ-071","Physical & Infrastructure","Which cloud or hosting providers support the production service?","Architecture diagram / vendor list","Platform / Security"
"VSQ-072","Physical & Infrastructure","How is administrative access to cloud production environments restricted?","Cloud IAM standard","Platform / Security"
"VSQ-073","Physical & Infrastructure","Are production networks segmented from development and corporate environments where appropriate?","Network architecture","Platform / Security"
"VSQ-074","Physical & Infrastructure","How are infrastructure changes reviewed and logged?","Infrastructure-as-code workflow / change policy","Platform"
"VSQ-075","Physical & Infrastructure","How is physical security responsibility allocated between the company and hosting providers?","Shared-responsibility documentation","Security / Operations"
"VSQ-076","Customer Controls","Does the product support customer single sign-on?","Product documentation","Product / Engineering"
"VSQ-077","Customer Controls","Does the product provide customer-configurable MFA or strong authentication controls?","Product documentation","Product / Engineering"
"VSQ-078","Customer Controls","Can customers manage roles and permissions using role-based or equivalent controls?","Product access-control documentation","Product / Engineering"
"VSQ-079","Customer Controls","Are customer audit logs or security events available through the product or API?","Audit-log documentation","Product / Engineering"
"VSQ-080","Customer Controls","Can customers configure data retention, regional storage, or security settings where supported?","Product configuration documentation","Product / Privacy"
